,type,title,fuction,img
0,논벼,아하미(Ahami),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvnNygUb8K3MnjxDCkZ295TM3fCBe83GYJtr@G9Xgc/x4!
1,배추,순정아삭이(Sunjungasagi),"가공적성, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvefkt3TBb@s2enMjyY/suT83fCBe83GYJtr@G9Xgc/x4!
2,프리지아,핑크벨(Pink Bell),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv7QdQ0zjaT/AAlEaAWLGrjM3fCBe83GYJtr@G9Xgc/x4!
3,유채,다보(Dabo),"논재배적응성, 다수량성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvRiFm3hNo3WVibqTRFVfQwM3fCBe83GYJtr@G9Xgc/x4!
4,팔레높시스(호접란),아리홍(Arihong),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvH@YsOrY/Mq5LOhPgDHKSds3fCBe83GYJtr@G9Xgc/x4!
5,심비디움,웨딩데이(Da Song),,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv7tpgH8rA34BmTnrAgeG18s3fCBe83GYJtr@G9Xgc/x4!
6,마늘,후산(Husan),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvKtmYM5vbLgtE2Dmwb994c83fCBe83GYJtr@G9Xgc/x4!
7,포인세티아,빛들(Bitdeul),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv4F1zbtAQd4mrAyjtMkV1nc3fCBe83GYJtr@G9Xgc/x4!
8,칼라,새하(Saeha),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvNmOkT1NzYplkNttWWT/@Kc3fCBe83GYJtr@G9Xgc/x4!
9,밀,중모2017(Joongmo2017),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvUh2nwedE59Q9ezinhzbQyc3fCBe83GYJtr@G9Xgc/x4!
