,type,title,fuction,img,url
0,논벼,아하미(Ahami),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvnNygUb8K3MnjxDCkZ295TM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=ShSEJfuUjuHZBwRcJfVzcgnRhdyTlhhZTuNhdaRmQvlJpfojusSWrgZEuPktFJCeovLqlzKWEZDLRShzEEiMMKgCIgOnWCqUoTFO
1,배추,순정아삭이(Sunjungasagi),"가공적성, 식미",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvefkt3TBb@s2enMjyY/suT83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=ElKskxsKJdUkUxLnrkltHALtrdyoVfSEoaAbsNmqXsqbkzfIWvuNzvluDAuqkwyQqRRWsHQenAQnbbgpibRDTjRerrJetyorYYRW
2,프리지아,핑크벨(Pink Bell),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv7QdQ0zjaT/AAlEaAWLGrjM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=PzTLadWhHGKoDUvdBGzxUdvlkJxFOnvbKoTwNGBXBoiAWIPACHFXpYffzpkrNWYJCquUqScnjcUeoAePmtgATBzIEIXWmfdeTQoz
3,유채,다보(Dabo),"논재배적응성, 다수량성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvRiFm3hNo3WVibqTRFVfQwM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=CDlfqTnpaSawTHYvpjtCkAYSARIvoeVVGdyFrGNQtFGABTTXNfpGHGUrjpmTHQpkXwVJnzaLeIuJePWIQkxjUqHUvQvoqWgqSzki
4,팔레높시스(호접란),아리홍(Arihong),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvH@YsOrY/Mq5LOhPgDHKSds3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=hMfjTyBiOiVxfPRlqNiETurDrPDFoCEFPIcbjFxSlwYYpZKHydyddZdTiBPZtkhVnyQpvbwgJaPuoGhOXcHPDKlCQXyUtDWdgbFQ
5,심비디움,웨딩데이(Da Song),,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv7tpgH8rA34BmTnrAgeG18s3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=MTSdGayXqtSWvosKLWQTglgsSJpcRunhsiPDMJgKRdtNVsMWjKAHGXesRMdEmNwHdzPvLVFWBYzFTlngeonedeOpeQYAHoowxFhy
6,마늘,후산(Husan),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvKtmYM5vbLgtE2Dmwb994c83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=KoaXWQRkeKsjjMgwvvGCzVyPhpMIRFiKhQtDBjFHaSbwyhqKvdspIhaJplwiWDNKoIoGosSeyRDEjfMEgrGkDxwtoeSxfTOgvWPG
7,포인세티아,빛들(Bitdeul),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv4F1zbtAQd4mrAyjtMkV1nc3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=aIbSQHeetDBFFvuzyWMogXpTixunlXIteIRbZqZOXxyWZOdOKMkkhYPmtyUExZsSbnJesGSvYXWmknyutTuVySYPZKhQaghvRUem
8,칼라,새하(Saeha),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvNmOkT1NzYplkNttWWT/@Kc3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=fdYqKFDQqJkJNWWbtHimWijExkevaPfCACiiHAETCozBGoEuSnBYvxuZrfSMFshTbpJzCQYlRQJcOaeZkTKvMRDewJlFzPLgXdNa
9,밀,중모2017(Joongmo2017),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvUh2nwedE59Q9ezinhzbQyc3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=juIdBJYcTvsIaLUDGflVDZoUAykAiicCwJJDAjUxhzUkEwNhLgrNJReGEkEEmiNFTBMQkjwKTcagftljEdFintMaPTTXsxkcyUbE
10,쌀보리,소강(Sogang),"다수량성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvoWEsokR2FijkNfwAaA0WTM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=SGoAoAZWXPMhpxYpxcQDUWPqJJKCRRBYIQssqiVaObFPCzwDBpRmNTkVLuESbqOIroDMQVRQeMGdTloyHrGIGGPHZGjKMFIVNbXy
11,밀,아리흑찰(Ariheukchal),건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv@gDT1714QGbZMlsfXRz/M83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=iDxHVlRByMbCkUxQZbwjyojfkImIEKogqPzRQuqgblXmjTZxwAEwGrFPrqudWldPblfUVPVSKeOaQnYfhUADoTjisQuElmvnwFDG
12,겉보리,혜맑은(Hyemalgeun),"가공적성, 재배안정성",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvioSFrhvktv6ciZZxfKMm1s3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=qoFWTiqSKBhIHCgYJiKvRhpElxCjwczeHyxpjwJPiWARupdDChLtyirPWsCKyHtjzbQPRmvcIldWWmWyvylgTXBMTiAAvaXIylAX
13,밀,늘찬(Neulchan),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv5kwQYjRrarPPl@NuCOS7o83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=dhhgRxhHbkUheNYdMnfojXDWFCpKkyoNUOjnrykXkSrUqDWrTRAQXRaQuFCMZiIWrQrVUMuhKkCxNrLHtPQRhYLIbiScejmIIspS
14,마늘,제산(Jesan),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvvylV0qiRBBIcMkEd0UZxZM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=SUkLePRAhUEBbYAOxqipoIsPdjeeUZTNyqAOHyVKtVXWWaHcxjtlggdPhJBlwQXSRkINPcnZYfitvcGhvupxVZtvVzpYONxwsVqU
15,팽이버섯,설한(Seolhan),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvostqybx8/hxwOiveJyJglM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=ASFRGIeaQJjviUkStysChxuHsTZuXtvxsjhrDYrenJfnHdnuhJnYWyeqVTLQbTpjbuGoMmnGLOBxnOgDaqQWLrneGdtEzPhPYJby
16,콩,까리1호(Kkari1ho),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvC74H1i@YGMsvo5h9y7J7w83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=iVrFLJiPhBBSFmayogxnquGRGMzNzptXAMYCrHbcWqtmjDDtUCcSXwMoxsdBPQgoVKywcBEaElwRBYTiaOyNjMjqztAOGPCHRmuC
17,장류용콩,중모3015호(Jungmo3015ho),가공적성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvdSrRbbcbmJUbV3qDxRzDSs3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=CjJSomEEEkmJUjYOZnrrCNhHQIfSJnrfIUHPaBbLexJktEtNLroLbfauCadZqSANpOFsyFlqQBSnymNhbbyhLucoyLdLsaNsHIJC
18,"참다래(키위,다래)",녹홍(Nokong),건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv1KUa4RAQ3gEqa2K9MIGEts3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=ANEpJRPrkbJDKcbtzxCZrkiyGwuuIvPmCtBfAKDzJWuWwVTdPRFbkDyQigOnVvnMgklAZxuzFisJhSUuFfOHqCLcnVwTyMxROQLI
19,오차드그라스,희망초(Heemangcho),내습해성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvb2mHIlLMrrwY0UnKCdaIk83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=LlGEtzwuwtLDRPODepsSquxsRQJPYcyIPvhXZbBVEyrAiJcQTkUyTAHFmTEQqAvkgqeAapkKLXFvQlhItlaEvgmTKBpqrDoJnLfy
20,고추,활화산(Hwalhwasan),"가공적성, 착과력 우수",http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv2Rpe8x@s0QoXclNXI9k@t83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=ZHXaKukxVlNKfZBteXxgJeNspOYnbQIPSRDOUniFAYiTkkbkcdFolYUzCaoucHRCRUwwgWvdoWJjdSWhyGAYFiOjTZCsLXgliThW
21,고추,원기2호(Wongi2ho),건강기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv5T/T2iL9kVg/fOCpPE0ntM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=zQIfKPLoLmERMYtyZEfHmPJzThKoehaVLIyszHdMNYehFtAbVCdzEqBLzsTTJmRTHGlHgjCYqkXEeWOurBuzNPqixLfTTuumDyMX
22,트리티케일(라이밀),옹골진(Onggoljin),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvQLEcIPen1a3@gJxwCOgJJc3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=bauZFppHczbWDsPLLxcFzESiDWgQroLUQdbFbbntviLxOACDLihaSxsSzhvWtPHTYPNMUElcnnPRAamutpQmeFATCviKJbTLWaMJ
23,이탈리안라이그라스,아이알606(IR 606),재배안정성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvSS2Deax2FPdTNOjMo2OtH83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=bvjlEPTyfvFkDYNLTVxIywVwMDSLxVdHDnsJLOAxqQBYyssWHfBXwWyTTJzEXyyeQGGuvtFydEyawWExYRRXhFzUjWqGJgWWVONH
24,기타약용작물,평안艾(Pyeonganae),건강 기능성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvY8wV3p@NN0MLOdgEPvfUfs3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=hZipriPfmvKIkxQFTpzaztcKlXjcbrzHOKpObqLqsYfBpzDfqeKuBtwKRRmjmcvEuHpwgJZyDbMCzDnSZVSebMNEroACOqCQJPgV
25,스탠다드,크레용(Crayon),가시가 없어 재배편의성 높음,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvwhG9x8ymP2U8Sh2J@JIIFM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=klbLvbsBmSzwKniekNOLbtCSrWShcdtNAKiaxMafyNrbnLRCmoyWkdBExRrUYlfozbQTfrORCkyaRrzpruvjbqiJbqTRLedDSOHq
26,스프레이,루비블랑(RubyBlanc),가시가 거의 없음,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvSpLAAUwZIEDSBd@jcm/B5c3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=eAldSYYtZxgOHGvnUulXdkmnQidytllsxDgokEgKutFnWhQOjmQDnTDswOOGgzbwsYjGizDLktLdtNlrPUNHuVNzIpkyJXqEdxKt
27,스프레이,캔디바(CandyBubble),화색우수,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvObPsfL9XRK73N0zC2FtsZ83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=xGJzbQMcIZfvjibAARftuSRIRwAhUZPvxRkyqrOYdAGTOpvQPMsazpQpXcLfcXcLvhLLxwjZRDfViQyNijEFMWjsjgOGkokwvyna
28,오차드그라스,희망초2호(Heemangcho2ho),내습성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv1LO@Kyh@jFZkDYNEChtCnc3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=FrPoMPcKXUMqkBSbrMpEUAVHgPPFOZcAucSueQvUguPGKADrfzxHbxHeQaduRYUbLXVuMDfVurzkIxcDlcAFJhBGvjurtBikizCD
29,양파,진주미(Jinjumi),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv/JWy5ps1IaFuBIXGxPbip83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=IwDjvVCFoQOcFSDCQpxgiaJseOJbVtdoqqwQrdexRwkDaCTllYwQtzCCowCpmhVfaqMKtReEIZoAPbmygpQLLSOBEFOGnNlFsvBX
30,옥수수,알찬흑찰(Alchanheukchal),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvsvoKeYHllavh154hwp8spc3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=lRaoEHAnlIbiczeSnOXoDBhaSxinyPIvhfLJvRXyxLnpEJlFVJcjQrSRdsEwGyvzmFDkRxlbZoVLaJVOHJQRMOtOJKVBQFQNHEDq
31,일반벼,미소찬(Misochan),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvSLYlHZun5eytFrnKoO6/LM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=DmDVyLJrAebsvqsSnLwVWhPrtbWUXJZptjpKKRkdKuDAtGfcSVTEmWHsPHGAkASLtDOTgEikzPAMSfpxHdoLZQwsdcnyGjBvMTnA
32,옥수수,케이엠7(KM7),다수량성,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lvFWQqfNiuon5Cg0vrfdu5zM3fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=DmHfHITCeFeCABRQUIbilVciXriYEJFwfFGnYcxTIYmvWpIMTmBBhGFOTKZQBslMrvPxIzxAMrWsttSbIINKnCvSXCNnxXhjGmIG
33,옥수수,고당옥2호(Godangok2ho),식미,http://www.nongsaro.go.kr/portal/imgView.do?ep=a5gb/CMEYLclIUPoWw9/DTnomi9S/YDfHD2ofIDhNOqPWPXCk6r5f9/5EwSYQ8lv7BrN3/BG8u/s@aS5QxJYo83fCBe83GYJtr@G9Xgc/x4!,https://atis.rda.go.kr/sys/file/extrlDownloadFile.do?fileNmOpt=N&extrlAtchFileId=UrjmOWBlAvgVRuBACKYIQqpHLlFjivKqdNYflVCZOyJCAoelJuSQKtvNWiiwwyEnUJcubJnrZBKUuwPHTPuPKjiDVvtJBCmSyHkn
